METAR,COR,RCNN,260,300Z,36006KT,6000,FEW010 SCT025 BKN060,23,16,Q1022,NOSIG,,,
METAR,RCNN,260230Z,030,05KT,5000,HZ,FEW010 SCT025 BKN060,23,17,Q1022,NOSIG,,,
METAR,RCNN,260200Z,040,06KT,5000,HZ,FEW008 SCT025 BKN050,22,17,Q1022,NOSIG,,,
SPECI,RCNN,260155Z,040,06KT,5000,HZ,FEW008 SCT025 BKN050,22,17,Q1022,NOSIG,,,
METAR,RCNN,260130Z,030,05KT,4000,BR,SCT008 SCT025 BKN040,21,17,Q1022,<strong>BECMG<,strong>,5000,BR
METAR,RCNN,260125Z,030,05KT,4000,BR,SCT008 SCT025 BKN040,21,17,Q1022,<strong>BECMG<,strong>,5000,BR
METAR,RCNN,260100Z,020,05KT,4000,BR,SCT008 SCT025 BKN040,20,17,Q1022,<strong>BECMG<,strong>,5000,BR
SPECI,RCNN,260045Z,020,05KT,4000,BR,SCT008 SCT025 BKN040,20,17,Q1022,NOSIG,,,
METAR,RCNN,260030Z,010,06KT,3200,BR,SCT008 SCT025 BKN040,20,17,Q1022,NOSIG,,,
METAR,RCNN,260000Z,040,05KT,3200,BR,FEW010 SCT025 BKN040,20,17,Q1021,NOSIG,,,
METAR,RCNN,252330Z,040,04KT,3200,BR,FEW010 SCT025 BKN040,19,17,Q1021,NOSIG,,,
METAR,RCNN,252300Z,050,04KT,3200,BR,FEW010 BKN020 BKN040,19,17,Q1021,NOSIG,,,
SPECI,RCNN,252238Z,010,05KT,3200,BR,FEW010 BKN020 BKN040,19,17,Q1021,NOSIG,,,
METAR,RCNN,252230Z,010,05KT,4000,BR,FEW010 BKN020 BKN040,19,17,Q1021,<strong>BECMG<,strong>,3200,BR
METAR,RCNN,252200Z,010,04KT,4000,BR,FEW012 SCT025 BKN040,19,17,Q1020,<strong>BECMG<,strong>,3200,BR
METAR,RCNN,252130Z,020,06KT,4000,BR,FEW012 SCT025 BKN040,19,17,Q1020,<strong>BECMG<,strong>,3200,BR
SPECI,RCNN,252106Z,010,07KT,4000,BR,FEW012 SCT025 BKN040,19,17,Q1020,<strong>BECMG<,strong>,3200,BR
METAR,RCNN,252100Z,010,06KT,5000,BR,FEW012 SCT025 BKN040,19,17,Q1020,<strong>BECMG<,strong>,3200,BR
SPECI,RCNN,252051Z,010,07KT,5000,BR,FEW012 SCT025 BKN040,19,17,Q1020,,,,
METAR,RCNN,252030Z,020,07KT,6000,FEW012 SCT025 BKN040,19,17,Q1020,,,,,
METAR,RCNN,252000Z,030,03KT,7000,FEW012 BKN040,19,17,Q1020,,,,,
METAR,RCNN,251900Z,030,06KT,7000,FEW012 BKN040,19,17,Q1021,,,,,
METAR,RCNN,251800Z,020,05KT,7000,FEW012 BKN040,20,17,Q1020,,,,,
METAR,RCNN,251700Z,020,05KT,7000,FEW012 BKN040,19,17,Q1021,,,,,
METAR,RCNN,251600Z,030,07KT,8000,FEW012 BKN040,19,16,Q1021,,,,,
METAR,RCNN,251500Z,020,08KT,9000,FEW012 BKN040,19,17,Q1021,,,,,
METAR,RCNN,251400Z,030,07KT,9000,FEW012 BKN040,19,17,Q1021,,,,,
METAR,RCNN,251330Z,020,10KT,9999,FEW012 BKN040,20,17,Q1021,,,,,
METAR,RCNN,251300Z,020,10KT,9999,FEW012 BKN040,20,16,Q1021,,,,,
METAR,RCNN,251230Z,020,09KT,9999,FEW012 SCT100,20,16,Q1021,,,,,
METAR,RCNN,251200Z,010,09KT,9999,FEW012 SCT100,20,17,Q1021,,,,,
METAR,RCNN,251130Z,360,09KT,9999,FEW012 SCT100,20,17,Q1021,,,,,
METAR,RCNN,251100Z,010,10KT,9999,FEW012 SCT100,20,17,Q1020,,,,,
METAR,RCNN,251030Z,360,10KT,9999,FEW012 SCT050 BKN080,20,17,Q1020,,,,,
METAR,RCNN,251000Z,340,08KT,9999,FEW012 SCT050 BKN080,21,17,Q1020,NOSIG,,,,
METAR,RCNN,250930Z,330,08KT,9999,FEW012 SCT050 BKN080,22,17,Q1020,NOSIG,,,,
METAR,RCNN,250900Z,320,08KT,9999,FEW012 BKN060,22,16,Q1019,NOSIG,,,,
METAR,RCNN,250830Z,310,07KT,9999,FEW012 BKN060,23,16,Q1019,NOSIG,,,,
METAR,RCNN,250800Z,340,09KT,9999,FEW012 BKN060,24,16,Q1019,NOSIG,,,,
METAR,RCNN,250730Z,330,08KT,9999,FEW012 BKN060,26,16,Q1019,NOSIG,,,,
METAR,RCNN,250700Z,320,09KT,9999,FEW012 SCT060,25,16,Q1019,NOSIG,,,,
METAR,RCNN,250630Z,330,10KT,9999,FEW012 SCT060,27,16,Q1019,NOSIG,,,,
METAR,RCNN,250600Z,330,08KT,9999,FEW012 BKN060,26,16,Q1019,NOSIG,,,,
METAR,RCNN,250530Z,330,04KT,9999,FEW012 BKN060,26,16,Q1019,NOSIG,,,,
METAR,RCNN,250500Z,320,03KT,9999,FEW012 BKN060,26,15,Q1020,NOSIG,,,,
METAR,RCNN,250430Z,330,04KT,9999,FEW012 BKN060,26,16,Q1021,NOSIG,,,,
METAR,RCNN,250400Z,320,04KT,9999,FEW012 BKN060,25,15,Q1021,NOSIG,,,,
METAR,RCNN,250330Z,310,02KT,9999,FEW012 BKN060,25,15,Q1022,NOSIG,,,,
METAR,RCNN,250300Z,350,02KT,9999,FEW012 BKN060,24,15,Q1022,NOSIG,,,,
