SPECI,RCMQ,060836Z,010,05KT,1600,-RA,BR,BKN002 OVC008 BKN002,19,18,Q1014,BECMG,TL1400,1600,BR,A2996,,,,,,
METAR,RCMQ,060830Z,010,05KT,1000,R36,0800N,-RA,BR,BKN002 OVC008 BKN002,19,18,Q1014,BECMG,TL1400,1600,BR,A2996,,,,
METAR,RCMQ,060800Z,010,04KT,1000,R36,0800N,-RA,BR,BKN002 OVC008 BKN002,19,18,Q1014,BECMG,TL0900,1200,-RA,BR,A2996,RA,AMT,T
SPECI,RCMQ,060752Z,010,06KT,1000,R36,0800U,-RA,BR,BKN002 OVC008 BKN002,19,18,Q1014,BECMG,TL0900,0200,-RA,FG,A2996,,,
SPECI,RCMQ,060737Z,010,05KT,0800,R36,0600U,-RA,FG,VV002,19,18,Q1014,BECMG,TL0900,0200,-RA,FG,BKN002,A2997,,
METAR,RCMQ,060730Z,010,06KT,0500,R36,0550N,+DZ,FG,VV002,19,18,Q1014,BECMG,TL0900,0200,-RA,FG,BKN002,A2996,,
SPECI,RCMQ,060710Z,010,05KT,0500,R36,0550N,+DZ,FG,VV002,18,18,Q1014,BECMG,TL0900,0200,-RA,FG,BKN002,A2997,,
METAR,RCMQ,060700Z,350,06KT,0500,R36,0550U,FG,VV002,18,18,Q1014,BECMG,TL0900,0200,-RA,FG,BKN002,A2997,RA,AMT,T
SPECI,RCMQ,060645Z,340,07KT,0500,R36,0550U,FG,VV002,19,18,Q1015,BECMG,TL0900,0200,-RA,FG,BKN002,A2998,,,
SPECI,RCMQ,060635Z,340,07KT,0500,R36,0450D,FG,VV002,19,18,Q1015,BECMG,TL0900,0600,FG,A2998,,,,,
METAR,RCMQ,060630Z,340,06KT,0800,R36,0550N,-RA,FG,BKN002 OVC010 BKN002,19,18,Q1015,BECMG,TL0900,1200,-RA,BR,A2998,,,
SPECI,RCMQ,060625Z,340,06KT,0800,R36,0550,-RA,FG,BKN002 OVC010 BKN002,19,18,Q1015,BECMG,TL0900,1200,-RA,BR,A2998,,,
METAR,RCMQ,060600Z,330,06KT,1600,-RA,BR,BKN003 BKN016 BKN002,20,18,Q1015,BECMG,FM0640,TL0900,1200,-RA,BR,A2998,RA,AMT,0.2MM,
SPECI,RCMQ,060550Z,320,06KT,2400,-RA,BR,SCT003 BKN008 BKN025 SCT003,20,18,Q1015,NOSIG,A2998,APCH,CLD,,,,,,,
METAR,RCMQ,060530Z,330,07KT,3200,1500NW,-RA,BR,SCT003 BKN008 BKN025 SCT003,20,18,Q1015,NOSIG,A2999,APCH,CLD,,,,,,
SPECI,RCMQ,060525Z,330,07KT,3200,1500NW,-RA,BR,SCT003 BKN008 BKN025 SCT003,20,18,Q1015,NOSIG,A2999,APCH,CLD,,,,,,
SPECI,RCMQ,060505Z,330,07KT,4000,1600NW,-RA,BR,SCT003 BKN010 BKN030 SCT003,20,18,Q1016,NOSIG,A3000,APCH,CLD,,,,,,
METAR,RCMQ,060500Z,330,06KT,5000,2000NW,VCSH,BR,SCT003 BKN010 BKN030 BKN010 SCT003,20,18,Q1016,BECMG,4000,-RA,BR,A3000,APCH,CLD,VCSH,SW-NW,
SPECI,RCMQ,060445Z,340,07KT,5000,2000NW,VCSH,BR,SCT003 BKN010 BKN030 BKN008 SCT003,21,18,Q1016,BECMG,4000,BR,A3001,APCH,CLD,VCSH,SW-NW,,
METAR,RCMQ,060430Z,320,08KT,7000,3200NW,VCSH,SCT003 BKN016 BKN030 SCT003,21,17,Q1016,NOSIG,A3001,APCH,CLD,VCSH,SW-NW,,,,,
METAR,RCMQ,060400Z,330,08KT,8000,VCSH,FEW008 BKN020 BKN035,22,17,Q1017,NOSIG,A3003,VCSH,W-NW,,,,,,,,
METAR,RCMQ,060330Z,320,08KT,9999,FEW010 SCT020 BKN050,23,17,Q1017,NOSIG,A3004,,,,,,,,,,,
METAR,RCMQ,060300Z,330,06KT,9999,FEW012 BKN060,25,17,Q1017,NOSIG,A3005,,,,,,,,,,,
METAR,RCMQ,060230Z,320,06KT,9999,FEW012 BKN060,25,17,Q1018,NOSIG,A3006,,,,,,,,,,,
METAR,RCMQ,060200Z,360,03KT,9999,FEW012 BKN060,25,17,Q1018,NOSIG,A3006,,,,,,,,,,,
METAR,RCMQ,060130Z,020,04KT,9999,FEW012 BKN060,24,18,Q1018,NOSIG,A3007,,,,,,,,,,,
METAR,RCMQ,060100Z,010,02KT,9999,FEW012 BKN060,22,17,Q1018,NOSIG,A3007,,,,,,,,,,,
METAR,RCMQ,060030Z,040,04KT,9999,FEW012 BKN060,21,17,Q1018,NOSIG,A3007,,,,,,,,,,,
METAR,RCMQ,060000Z,040,04KT,9999,FEW012 BKN060,19,17,Q1018,NOSIG,A3006,,,,,,,,,,,
METAR,RCMQ,052330Z,360,04KT,9000,FEW012 BKN060,18,16,Q1017,NOSIG,A3006,,,,,,,,,,,
METAR,RCMQ,052300Z,030,04KT,8000,FEW012 BKN060,17,16,Q1017,NOSIG,A3005,,,,,,,,,,,
METAR,RCMQ,052230Z,010,04KT,8000,FEW012 BKN060,17,15,Q1017,NOSIG,A3004,,,,,,,,,,,
METAR,RCMQ,052200Z,010,05KT,9000,FEW012 SCT060,16,14,Q1017,NOSIG,A3003,,,,,,,,,,,
METAR,RCMQ,052130Z,000,00KT,9999,FEW012 SCT080,16,14,Q1016,NOSIG,A3002,,,,,,,,,,,
METAR,RCMQ,052100Z,010,02KT,9999,FEW012 SCT080,16,13,Q1016,NOSIG,A3001,,,,,,,,,,,
METAR,RCMQ,052030Z,080,01KT,9999,FEW010 BKN060,16,14,Q1016,A3000,,,,,,,,,,,,
METAR,RCMQ,052000Z,000,00KT,9999,FEW010 BKN060,17,15,Q1016,A3000,,,,,,,,,,,,
METAR,RCMQ,051900Z,120,04KT,9999,FEW010 BKN060,18,15,Q1016,A3001,,,,,,,,,,,,
METAR,RCMQ,051800Z,140,03KT,9999,FEW010 BKN050,18,14,Q1016,A3002,,,,,,,,,,,,
METAR,RCMQ,051700Z,150,04KT,9999,FEW010 BKN050,18,14,Q1017,A3004,,,,,,,,,,,,
METAR,RCMQ,051600Z,140,04KT,9999,FEW010 BKN050,18,14,Q1017,A3005,,,,,,,,,,,,
METAR,RCMQ,051500Z,000,00KT,9999,FEW010 BKN060,18,13,Q1017,A3005,,,,,,,,,,,,
METAR,RCMQ,051400Z,000,00KT,9999,FEW010 BKN060,19,13,Q1017,A3004,,,,,,,,,,,,
METAR,RCMQ,051330Z,000,00KT,9999,FEW010 BKN060,19,13,Q1017,A3005,,,,,,,,,,,,
METAR,RCMQ,051300Z,360,05KT,9999,FEW010 BKN060,20,14,Q1017,NOSIG,A3005,,,,,,,,,,,
METAR,RCMQ,051230Z,330,04KT,9999,FEW010 BKN060,19,13,Q1017,NOSIG,A3005,,,,,,,,,,,
METAR,RCMQ,051200Z,330,05KT,9999,FEW010 BKN060,19,13,Q1017,NOSIG,A3004,,,,,,,,,,,
METAR,RCMQ,051130Z,360,04KT,9999,FEW010 BKN060,20,13,Q1017,NOSIG,A3003,,,,,,,,,,,
METAR,RCMQ,051100Z,350,05KT,9999,FEW010 BKN060,20,13,Q1017,NOSIG,A3003,,,,,,,,,,,
METAR,RCMQ,051030Z,360,04KT,9999,FEW010 BKN060,21,13,Q1016,NOSIG,A3002,,,,,,,,,,,
METAR,RCMQ,051000Z,330,05KT,9999,FEW010 BKN060,21,13,Q1016,NOSIG,A3001,,,,,,,,,,,
METAR,RCMQ,050930Z,310,07KT,9999,FEW010 SCT060,23,13,Q1016,NOSIG,A3000,,,,,,,,,,,
METAR,RCMQ,050900Z,310,08KT,9999,FEW010 SCT060,25,14,Q1015,NOSIG,A2999,,,,,,,,,,,
