METAR,RCKU,100200Z,340,05KT,9999,FEW012 SCT030 BKN060,19,13,Q1022,NOSIG,A3020
METAR,RCKU,100130Z,330,06KT,9999,FEW012 SCT025 BKN050,15,11,Q1021,NOSIG,A3017
METAR,RCKU,100100Z,340,06KT,9999,FEW012 SCT025 BKN050,15,11,Q1021,NOSIG,A3016
METAR,RCKU,100030Z,350,06KT,9999,FEW012 SCT025 BKN050,15,11,Q1021,NOSIG,A3015
METAR,RCKU,100000Z,350,07KT,9999,FEW012 SCT025 BKN050,15,11,Q1021,NOSIG,A3015
METAR,RCKU,092330Z,360,06KT,9999,FEW012 SCT025 BKN050,15,11,Q1021,NOSIG,A3015
METAR,RCKU,092300Z,350,08KT,9999,FEW012 SCT025 BKN050,14,11,Q1020,NOSIG,A3014
METAR,RCKU,092230Z,340,07KT,9999,FEW012 SCT025 BKN050,14,11,Q1020,NOSIG,A3013
METAR,RCKU,092200Z,360,07KT,9999,FEW012 SCT020 BKN050,14,11,Q1020,NOSIG,A3012
METAR,RCKU,092130Z,350,07KT,9999,FEW012 SCT020 BKN050,14,11,Q1020,NOSIG,A3013
METAR,RCKU,092100Z,350,07KT,9999,FEW012 SCT030 BKN060,14,11,Q1020,NOSIG,A3012
METAR,RCKU,092030Z,340,09KT,9999,FEW012 SCT030 BKN060,14,11,Q1019,A3011,
METAR,RCKU,092000Z,340,08KT,9999,FEW012 SCT030 BKN060,15,11,Q1019,A3011,
METAR,RCKU,091900Z,360,08KT,9999,FEW012 SCT030 BKN060,14,11,Q1020,A3013,
METAR,RCKU,091800Z,350,11KT,9999,FEW012 SCT030 BKN060,15,11,Q1021,A3015,
METAR,RCKU,091700Z,330,07KT,9999,FEW012 SCT030 BKN080,15,12,Q1020,A3014,
METAR,RCKU,091600Z,360,07KT,9999,FEW012 SCT030 BKN080,16,12,Q1020,A3014,
METAR,RCKU,091500Z,350,09KT,9999,FEW012 SCT030 BKN080,16,12,Q1021,A3016,
METAR,RCKU,091400Z,350,08KT,9999,FEW012 SCT030 BKN080,16,12,Q1021,A3017,
METAR,RCKU,091330Z,360,09KT,9999,FEW012 SCT030 BKN060,16,13,Q1021,A3017,
METAR,RCKU,091300Z,350,11KT,9999,FEW012 SCT030 BKN060,16,13,Q1021,A3017,
METAR,RCKU,091230Z,340,13KT,9999,FEW012 SCT030 BKN060,16,13,Q1021,A3016,
METAR,RCKU,091200Z,350,13KT,9999,FEW012 SCT030 BKN060,16,13,Q1020,A3014,
METAR,RCKU,091130Z,350,13KT,9999,FEW012 SCT030 BKN060,17,13,Q1020,A3013,
METAR,RCKU,091100Z,350,13KT,9999,FEW012 SCT030 BKN060,17,13,Q1020,A3013,
METAR,RCKU,091030Z,350,13KT,9999,FEW012 SCT030 BKN060,17,13,Q1020,A3013,
METAR,RCKU,091000Z,350,12KT,9999,FEW012 SCT030 BKN060,18,13,Q1020,A3012,
METAR,RCKU,090930Z,350,12KT,9999,FEW012 SCT030 BKN060,18,14,Q1019,A3011,
METAR,RCKU,090900Z,350,13KT,9999,FEW012 SCT030 BKN060,19,14,Q1019,NOSIG,A3010
METAR,RCKU,090830Z,340,15KT,9999,FEW012 SCT030 BKN060,19,14,Q1019,NOSIG,A3010
METAR,RCKU,090800Z,350,16KT,9999,FEW012 SCT030 BKN060,19,14,Q1019,NOSIG,A3010
METAR,RCKU,090730Z,350,13KT,9999,FEW010 BKN080,19,14,Q1019,NOSIG,A3009
METAR,RCKU,090700Z,350,16KT,9999,FEW010 BKN080,20,14,Q1019,NOSIG,A3009
METAR,RCKU,090630Z,340,15KT,9999,FEW010 BKN080,21,15,Q1019,NOSIG,A3009
METAR,RCKU,090600Z,330,12KT,9999,FEW010 BKN080,22,15,Q1019,NOSIG,A3010
METAR,RCKU,090530Z,330,13KT,9999,FEW010 BKN080,23,16,Q1019,NOSIG,A3010
METAR,RCKU,090500Z,320,09KT,9999,FEW010 BKN080,24,17,Q1019,NOSIG,A3011
METAR,RCKU,090430Z,350,10KT,9999,FEW010 BKN080,24,17,Q1020,NOSIG,A3012
METAR,RCKU,090400Z,360,06KT,9999,FEW010 BKN080,23,17,Q1020,NOSIG,A3013
METAR,RCKU,090330Z,360,07KT,9999,FEW012 BKN030 BKN060,23,17,Q1020,NOSIG,A3014
METAR,RCKU,090300Z,360,08KT,9999,FEW012 BKN030 BKN060,23,17,Q1021,NOSIG,A3015
METAR,RCKU,090230Z,340,08KT,9999,FEW012 BKN030 BKN030,22,17,Q1021,NOSIG,A3015
METAR,RCKU,090200Z,340,10KT,9999,FEW012 BKN060,22,17,Q1021,NOSIG,A3016
